County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Abbeville County, South Carolina",45001,24872,0.0,0.0,0,1,1.7591515146217035e-06,6.565674512322327e-14,6.818852843422479e-06,1.3080174378577558e-06,4.702013807956251e-19,5.718739140954998e-06,1.1485414517262533e-06,1.1364283220989108e-18,5.184429059323612e-06,1.1485414517262533e-06,1.1364283220989108e-18,5.184429059323612e-06,-16.977315754707732
"Acadia Parish, Louisiana",22001,62645,24.0,3.831111820576263e-05,0,0,3.772800250722573e-05,2.306758938568453e-05,5.276241396662591e-05,3.8016437756191386e-05,2.3198689195830367e-05,5.3124477403933756e-05,3.7863443173871556e-05,2.333698033792916e-05,5.300111919903501e-05,3.7863443173871556e-05,2.333698033792916e-05,5.300111919903501e-05,-10.169770411325754
"Accomack County, Virginia",51001,32947,0.0,0.0,0,1,1.3821202864482267e-06,4.948312205088016e-16,5.381102228605333e-06,1.0221224374319261e-06,9.867871430615914e-16,4.388393456758151e-06,8.902447114659753e-07,2.783369116634452e-22,4.021780923168588e-06,8.902447114659753e-07,2.783369116634452e-22,4.021780923168588e-06,-16.977315754707732
"Ada County, Idaho",16001,444028,287.0,6.463556352302107e-05,0,0,6.440154961068587e-05,5.6692329289522873e-05,7.164953403648987e-05,6.44914982426726e-05,5.70769101189921e-05,7.188105583088988e-05,6.447728099851004e-05,5.7310781980953256e-05,7.221717109324019e-05,6.447728099851004e-05,5.7310781980953256e-05,7.221717109324019e-05,-9.646745779723458
"Adair County, Iowa",19001,7092,0.0,0.0,0,1,5.194177691628894e-06,2.1657753825270932e-16,2.0222702073971947e-05,4.05635450160712e-06,4.965169088906672e-16,1.7649220975162725e-05,3.4528959046028486e-06,2.835975719581594e-17,1.5557577658451818e-05,3.4528959046028486e-06,2.835975719581594e-17,1.5557577658451818e-05,-16.977315754707732
"Adair County, Kentucky",21001,19280,0.0,0.0,0,1,2.2653179056232928e-06,6.439305750702038e-14,8.785969300404948e-06,1.6762111964394901e-06,1.5168719025789247e-17,7.410328844053754e-06,1.4529992101604151e-06,1.9881508492523938e-19,6.832715950643832e-06,1.4529992101604151e-06,1.9881508492523938e-19,6.832715950643832e-06,-16.977315754707732
"Adair County, Missouri",29001,25359,0.0,0.0,0,1,1.7154171814619877e-06,4.7559091912435e-13,6.836348496408526e-06,1.2786811410994675e-06,6.526397470409099e-18,5.473334579273282e-06,1.133893177645111e-06,3.195341500762224e-19,5.275195415632589e-06,1.133893177645111e-06,3.195341500762224e-19,5.275195415632589e-06,-16.977315754707732
"Adair County, Oklahoma",40001,22098,0.0,0.0,0,1,1.9806878405395103e-06,4.401461651533209e-15,7.700179258040079e-06,1.4408071484090313e-06,1.188956811525793e-16,6.140052327477175e-06,1.2983152864398175e-06,7.401653291131479e-17,6.0005156278850965e-06,1.2983152864398175e-06,7.401653291131479e-17,6.0005156278850965e-06,-16.977315754707732
"Adams County, Colorado",8001,498187,388.0,7.788240158815867e-05,1,0,7.763065889931151e-05,7.005160289782701e-05,8.537956334056691e-05,7.770308559805597e-05,7.005191415663823e-05,8.552061413064554e-05,7.78147851814273e-05,7.016295157802927e-05,8.531514286027406e-05,7.78147851814273e-05,7.016295157802927e-05,8.531514286027406e-05,-9.46031054090236
"Adams County, Idaho",16003,3900,0.0,0.0,0,1,8.027640450092834e-06,1.4290168301405005e-15,3.1310505807053275e-05,6.529693871859294e-06,1.9399293816489036e-15,2.717706623185562e-05,5.663586077281438e-06,1.761695957305817e-17,2.5461448393219844e-05,5.663586077281438e-06,1.761695957305817e-17,2.5461448393219844e-05,-16.977315754707732
"Adams County, Illinois",17001,66578,25.0,3.754994142209138e-05,0,0,3.712693349838039e-05,2.3455648033033513e-05,5.1501410282429044e-05,3.738257959140519e-05,2.3255653957608768e-05,5.154409948822272e-05,3.721246067092386e-05,2.3393431815305963e-05,5.1758858479151565e-05,3.721246067092386e-05,2.3393431815305963e-05,5.1758858479151565e-05,-10.189838739752913
"Adams County, Indiana",18001,35232,0.0,0.0,0,1,1.2741534548639532e-06,7.914296019395521e-17,5.023444220352928e-06,9.65476739801185e-07,6.450102903019612e-17,4.261466886622528e-06,8.244554296143977e-07,1.8885725785257094e-23,3.745659787386993e-06,8.244554296143977e-07,1.8885725785257094e-23,3.745659787386993e-06,-16.977315754707732
"Adams County, Iowa",19003,3693,0.0,0.0,0,1,8.35631801690874e-06,2.1367689390862657e-14,3.2460075756880055e-05,6.509221383942558e-06,2.6614057036076805e-16,2.7975253014175894e-05,6.003737359460158e-06,1.533553571687831e-16,2.7098847270528263e-05,6.003737359460158e-06,1.533553571687831e-16,2.7098847270528263e-05,-16.977315754707732
"Adams County, Mississippi",28001,31248,0.0,0.0,0,1,1.4153142310554403e-06,9.390269567502132e-15,5.4437832797324585e-06,1.071692036554958e-06,2.2632177729202195e-17,4.79825060971951e-06,2.2640257765518553e-06,5.62200992858592e-13,7.538122964100279e-06,2.2640257765518553e-06,5.62200992858592e-13,7.538122964100279e-06,-16.977315754707732
"Adams County, Nebraska",31001,31684,0.0,0.0,0,1,1.4145944146070304e-06,9.658870789894992e-14,5.549084877367456e-06,1.0462115739607511e-06,1.585905340486917e-18,4.502068883938541e-06,9.043053095445383e-07,1.7801092224281008e-17,4.010954663475231e-06,9.043053095445383e-07,1.7801092224281008e-17,4.010954663475231e-06,-16.977315754707732
"Adams County, North Dakota",38001,2305,0.0,0.0,0,1,1.0781205987026868e-05,3.5048082922959226e-12,4.204839460328432e-05,9.24004259555918e-06,1.9511707293590616e-16,4.0272082145553214e-05,8.104167611221025e-06,1.163952232320216e-16,3.639103263151686e-05,8.104167611221025e-06,1.163952232320216e-16,3.639103263151686e-05,-16.977315754707732
"Adams County, Ohio",39001,27907,11.0,3.941663381947182e-05,0,0,3.8182117822487865e-05,1.7943604314761593e-05,6.0634146081946225e-05,3.882838409110367e-05,1.804669657392322e-05,6.154783419359205e-05,3.8398814644433536e-05,1.7841310261508387e-05,6.10795330895763e-05,3.8398814644433536e-05,1.7841310261508387e-05,6.10795330895763e-05,-10.141322652593328
"Adams County, Pennsylvania",42001,102180,47.0,4.599725973771775e-05,0,0,4.550700207822556e-05,3.3342609911668655e-05,5.851757620682918e-05,4.569314869552676e-05,3.340594132446547e-05,5.919998762187659e-05,4.56547118927559e-05,3.319582211806555e-05,5.8733846702293986e-05,4.56547118927559e-05,3.319582211806555e-05,5.8733846702293986e-05,-9.986928734168776
"Adams County, Washington",53001,19238,0.0,0.0,0,1,2.291537302180907e-06,4.333519193811351e-14,8.915539606951455e-06,1.6962070929078758e-06,2.169026577187948e-19,7.328955434957429e-06,1.4943668215424107e-06,5.162626624130095e-20,6.9237834324148485e-06,1.4943668215424107e-06,5.162626624130095e-20,6.9237834324148485e-06,-16.977315754707732
"Adams County, Wisconsin",55001,20069,13.0,6.477652100254123e-05,0,0,6.0744802637907404e-05,2.9186740387346218e-05,9.282630641842561e-05,6.19384335225946e-05,3.1450579701824005e-05,9.593361717627332e-05,6.178009652486184e-05,3.1172003021522545e-05,9.657032036370427e-05,6.178009652486184e-05,3.1172003021522545e-05,9.657032036370427e-05,-9.644567350471192
"Addison County, Vermont",50001,36959,10.0,2.7057009118212074e-05,0,0,2.6768950383785283e-05,1.1590278488532532e-05,4.271083538700375e-05,2.705066018349761e-05,1.1218830269785186e-05,4.367659123094156e-05,2.771170000980494e-05,1.2519620167841683e-05,4.457451836883177e-05,2.771170000980494e-05,1.2519620167841683e-05,4.457451836883177e-05,-10.517564469112536
"Aiken County, South Carolina",45003,167458,62.0,3.7024209055404935e-05,0,0,3.679763988754904e-05,2.8248068301167908e-05,4.6018708158366696e-05,3.691488342865983e-05,2.7785083571861724e-05,4.596840831595639e-05,3.681153488526083e-05,2.7665077932486507e-05,4.5658067121570043e-05,3.681153488526083e-05,2.7665077932486507e-05,4.5658067121570043e-05,-10.203938560485454
"Aitkin County, Minnesota",27001,15583,0.0,0.0,0,1,2.70112386466713e-06,2.6197981444390565e-14,1.076378458336783e-05,2.019615876582885e-06,9.9828940947082e-18,8.8789590820916e-06,1.777658057825455e-06,1.0321774799549915e-16,8.108587084862122e-06,1.777658057825455e-06,1.0321774799549915e-16,8.108587084862122e-06,-16.977315754707732
"Alachua County, Florida",12001,263496,110.0,4.174636427118438e-05,0,0,4.1547317144528054e-05,3.3771863055067245e-05,4.952247155043467e-05,4.165729606836998e-05,3.407946235814783e-05,4.979000662303469e-05,4.168659960207493e-05,3.390506088766883e-05,4.9431431688500005e-05,4.168659960207493e-05,3.390506088766883e-05,4.9431431688500005e-05,-10.083898193784307
"Alamance County, North Carolina",37001,159688,54.0,3.381594108511598e-05,0,0,3.370721802916349e-05,2.5276688342223278e-05,4.270312097598055e-05,3.368134976713745e-05,2.5128961417994767e-05,4.277502290071158e-05,3.368132845234088e-05,2.469894963700401e-05,4.259459296098886e-05,3.368132845234088e-05,2.469894963700401e-05,4.259459296098886e-05,-10.29457823692049
"Alameda County, California",6001,1647704,929.0,5.6381485995057363e-05,0,0,5.634393718182459e-05,5.2871950020155794e-05,5.996341712854656e-05,5.636163905657529e-05,5.279824830934079e-05,5.989626974810733e-05,5.6349159772442826e-05,5.272463538843817e-05,5.989666876898481e-05,5.6349159772442826e-05,5.272463538843817e-05,5.989666876898481e-05,-9.783369715849172
"Alamosa County, Colorado",8003,16654,13.0,7.805932508706617e-05,1,0,7.155333104407479e-05,3.630026508032439e-05,0.00010862161968441013,7.390318760515887e-05,3.658092533990612e-05,0.00011336828326702122,7.410172735467507e-05,3.705621590620035e-05,0.00011383784488119124,7.410172735467507e-05,3.705621590620035e-05,0.00011383784488119124,-9.458041442328273
"Albany County, New York",36001,308846,186.0,6.022418940183781e-05,0,0,5.9955995180446884e-05,5.1185988770076014e-05,6.815675550072566e-05,6.00728063256092e-05,5.1654313002331766e-05,6.910348202267917e-05,6.009208988140906e-05,5.158928019657793e-05,6.878177278818714e-05,6.009208988140906e-05,5.158928019657793e-05,6.878177278818714e-05,-9.717436469050178
"Albany County, Wyoming",56001,38256,10.0,2.6139690506064407e-05,0,0,2.5950072787967755e-05,1.0914725689354665e-05,4.1489511228301685e-05,2.6107695577220692e-05,1.1326428008760425e-05,4.243226587165641e-05,2.59832840745566e-05,1.1578922027470995e-05,4.279375452209677e-05,2.59832840745566e-05,1.1578922027470995e-05,4.279375452209677e-05,-10.552055689698106
"Albemarle County, Virginia",51003,106878,14.0,1.309904751211662e-05,0,0,1.3254543763968476e-05,6.723002121283762e-06,1.9935528407121953e-05,1.3273246072587658e-05,6.580100349251038e-06,1.9970727113816036e-05,1.3558018143062447e-05,7.1463766891953134e-06,2.0834525465875253e-05,1.3558018143062447e-05,7.1463766891953134e-06,2.0834525465875253e-05,-11.242971039399327
"Alcona County, Michigan",26001,10352,0.0,0.0,0,1,3.852711100793656e-06,2.5372847874043526e-15,1.5190345819336758e-05,2.884480677842589e-06,6.916369551033641e-19,1.2501966035181536e-05,2.596304658758607e-06,4.649401961029294e-20,1.170408827903129e-05,2.596304658758607e-06,4.649401961029294e-20,1.170408827903129e-05,-16.977315754707732
"Alcorn County, Mississippi",28003,37304,10.0,2.68067767531632e-05,0,0,2.651201557299866e-05,1.1682306069128895e-05,4.283885431309135e-05,2.6760969443172133e-05,1.1237570318120776e-05,4.339959136228656e-05,2.6641584162083975e-05,1.1424553481073782e-05,4.2953110361694264e-05,2.6641584162083975e-05,1.1424553481073782e-05,4.2953110361694264e-05,-10.526855838488157
"Aleutians East Borough, Alaska",2013,3296,0.0,0.0,0,1,8.712849168423362e-06,8.083828839979465e-13,3.383694547239059e-05,7.604732278227594e-06,1.0052313948057706e-14,3.4373269869808755e-05,6.341914662878016e-06,4.4066060615960603e-20,2.8594987356383045e-05,6.341914662878016e-06,4.4066060615960603e-20,2.8594987356383045e-05,-16.977315754707732
"Aleutians West Census Area, Alaska",2016,5647,0.0,0.0,0,1,6.1874677420676395e-06,1.9418829757909492e-13,2.4379117485979948e-05,4.858765846281274e-06,1.2643091816892005e-15,2.1291660961035107e-05,4.17222634945365e-06,7.471491072903012e-19,1.8903377213669536e-05,4.17222634945365e-06,7.471491072903012e-19,1.8903377213669536e-05,-16.977315754707732
"Alexander County, Illinois",17003,6478,0.0,0.0,0,1,5.563961790539862e-06,1.8441138304085058e-14,2.1349635269216956e-05,4.407257607633356e-06,1.3557034653297739e-16,1.9373996442043717e-05,3.9310159743430245e-06,4.1523555155420713e-16,1.7653652364374528e-05,3.9310159743430245e-06,4.1523555155420713e-16,1.7653652364374528e-05,-16.977315754707732
"Alexander County, North Carolina",37003,37428,12.0,3.206155819172812e-05,0,0,3.142159795972428e-05,1.4758017130156956e-05,4.9195911261103684e-05,3.1695044267683595e-05,1.5824122297713412e-05,5.0124376243604824e-05,3.1636743389339696e-05,1.5106569690683783e-05,4.940840269311083e-05,3.1636743389339696e-05,1.5106569690683783e-05,4.940840269311083e-05,-10.347852809601848
"Alexandria city, Virginia",51510,155810,63.0,4.043386175470124e-05,0,0,4.0165745996739126e-05,3.0913472280476365e-05,5.0096775024926936e-05,4.0269431818443934e-05,3.072958211579174e-05,5.014750438399398e-05,4.045144108628695e-05,3.0685502327709493e-05,5.072789025225537e-05,4.045144108628695e-05,3.0685502327709493e-05,5.072789025225537e-05,-10.115842961813913
"Alfalfa County, Oklahoma",40003,5827,0.0,0.0,0,1,5.910568729779166e-06,1.0914861899257433e-12,2.288669600407871e-05,4.765370822802503e-06,5.6485417398772364e-15,2.1010211616078326e-05,4.1884501368866234e-06,3.620799171957801e-17,1.9177075104036078e-05,4.1884501368866234e-06,3.620799171957801e-17,1.9177075104036078e-05,-16.977315754707732
"Alger County, Michigan",26003,9219,0.0,0.0,0,1,4.21449428787827e-06,2.331262111266937e-14,1.6500051613806366e-05,3.2067717450350725e-06,3.891001639773524e-16,1.4407334650025608e-05,2.8475802743506702e-06,3.3936413008353343e-18,1.2937756761945126e-05,2.8475802743506702e-06,3.3936413008353343e-18,1.2937756761945126e-05,-16.977315754707732
"Allamakee County, Iowa",19005,13884,0.0,0.0,0,1,3.0317996621071024e-06,1.2191159085485612e-16,1.1468612370460502e-05,2.208308851015211e-06,7.729879837724354e-19,9.487922927114266e-06,1.951889706823841e-06,3.139598749728871e-18,9.079746569071482e-06,1.951889706823841e-06,3.139598749728871e-18,9.079746569071482e-06,-16.977315754707732
"Allegan County, Michigan",26005,115548,32.0,2.7694118461591718e-05,0,0,2.7559363645507144e-05,1.8421929143074683e-05,3.7243085224598086e-05,2.7648755385837415e-05,1.851723396871732e-05,3.7442633874990154e-05,2.7620850394825352e-05,1.8548600121444335e-05,3.727259084099023e-05,2.7620850394825352e-05,1.8548600121444335e-05,3.727259084099023e-05,-10.494290497222604
"Allegany County, Maryland",24001,72130,24.0,3.327325661999168e-05,0,0,3.290419380051832e-05,2.0153887515035166e-05,4.572004498782222e-05,3.317650945399476e-05,2.0822000112135776e-05,4.642419469887536e-05,3.3025326152112624e-05,2.0674949923772653e-05,4.680462521502694e-05,3.3025326152112624e-05,2.0674949923772653e-05,4.680462521502694e-05,-10.310756588143818
"Allegany County, New York",36003,47077,13.0,2.7614333963506596e-05,0,0,2.741559134949881e-05,1.389318608517184e-05,4.256931242270245e-05,2.7491577425928783e-05,1.3581591402460066e-05,4.230193459185139e-05,2.7345570493460354e-05,1.362662489924002e-05,4.214500647550616e-05,2.7345570493460354e-05,1.362662489924002e-05,4.214500647550616e-05,-10.49717557355103
"Alleghany County, North Carolina",37005,10848,0.0,0.0,0,1,3.699717371300988e-06,5.104797946678367e-16,1.4354266579054409e-05,2.8101453812850297e-06,1.0390118881816814e-16,1.202192746178938e-05,2.487232928234201e-06,2.9018452986779425e-17,1.1647359885808033e-05,2.487232928234201e-06,2.9018452986779425e-17,1.1647359885808033e-05,-16.977315754707732
"Alleghany County, Virginia",51005,15595,0.0,0.0,0,1,2.6235737217249565e-06,5.230831209475254e-15,1.0319092063528483e-05,2.043140103982644e-06,2.563794194832242e-16,8.85451563838344e-06,1.7953313662732777e-06,3.637920712408089e-20,8.27926824437578e-06,1.7953313662732777e-06,3.637920712408089e-20,8.27926824437578e-06,-16.977315754707732
"Allegheny County, Pennsylvania",42003,1225365,804.0,6.561310303460602e-05,0,0,6.55334931400416e-05,6.10586781282404e-05,7.01114624052796e-05,6.55629632194447e-05,6.108412053219135e-05,7.022850339127944e-05,6.558552543301887e-05,6.11851148477931e-05,7.021166653829412e-05,6.558552543301887e-05,6.11851148477931e-05,7.021166653829412e-05,-9.631735140578694
"Allen County, Indiana",18003,370404,178.0,4.8055636548201424e-05,0,0,4.793291050567226e-05,4.1286460442910054e-05,5.496749219812223e-05,4.797433519440294e-05,4.150244804531349e-05,5.553875654647683e-05,4.795859945280933e-05,4.1315100601394775e-05,5.5243492056983435e-05,4.795859945280933e-05,4.1315100601394775e-05,5.5243492056983435e-05,-9.94315112353388
"Allen County, Kansas",20001,12714,0.0,0.0,0,1,3.1473990356377456e-06,8.566820337951148e-13,1.2506265580645839e-05,2.402697503163926e-06,9.144607659267821e-18,1.0451687107367472e-05,2.1251313611087484e-06,9.32347210087697e-18,9.752532686523947e-06,2.1251313611087484e-06,9.32347210087697e-18,9.752532686523947e-06,-16.977315754707732
"Allen County, Kentucky",21003,20631,0.0,0.0,0,1,2.168111692607904e-06,7.54987390586541e-15,8.526803907104652e-06,1.6045312824959916e-06,3.530073478239778e-18,7.2312606890176536e-06,1.4012077869101933e-06,2.2806884587669654e-18,6.2934960977804855e-06,1.4012077869101933e-06,2.2806884587669654e-18,6.2934960977804855e-06,-16.977315754707732
"Allen County, Ohio",39003,103742,41.0,3.952111970079621e-05,0,0,3.9136372702494666e-05,2.724394206887546e-05,5.099080873025511e-05,3.927882378588211e-05,2.789913300487832e-05,5.1916274984907426e-05,3.936414144942416e-05,2.7896523015113293e-05,5.152678643025147e-05,3.936414144942416e-05,2.7896523015113293e-05,5.152678643025147e-05,-10.13867535297594
"Allen Parish, Louisiana",22003,25684,0.0,0.0,0,1,1.7247876250573197e-06,3.252436518898724e-15,6.78562683173442e-06,1.250004012854509e-06,6.814591972749489e-18,5.441348770969692e-06,1.1076113692532534e-06,8.82757858010611e-21,4.954349023483735e-06,1.1076113692532534e-06,8.82757858010611e-21,4.954349023483735e-06,-16.977315754707732
"Allendale County, South Carolina",45005,9045,0.0,0.0,0,1,4.327305992351361e-06,2.0128973981145696e-13,1.673010167684089e-05,3.3482442592240264e-06,1.0005467938042724e-17,1.4465223248535174e-05,6.695435762245952e-06,9.138157461510699e-11,2.225174061749668e-05,6.695435762245952e-06,9.138157461510699e-11,2.225174061749668e-05,-16.977315754707732
"Alpena County, Michigan",26007,28704,16.0,5.574136008918618e-05,0,0,5.316212535045514e-05,2.9779165893111975e-05,7.99968243959009e-05,5.4379594351791317e-05,2.9483206158852148e-05,8.11224560827247e-05,5.40789592689327e-05,2.92847932707852e-05,8.054364116379398e-05,5.40789592689327e-05,2.92847932707852e-05,8.054364116379398e-05,-9.794788135612787
"Alpine County, California",6003,1071,0.0,0.0,0,1,1.4728815300247172e-05,4.987396065735826e-14,5.764735328833119e-05,1.3499835160354906e-05,2.1610134978883814e-18,5.832970992504254e-05,2.4885080407411513e-05,7.480539440217584e-11,8.250904450757865e-05,2.4885080407411513e-05,7.480539440217584e-11,8.250904450757865e-05,-16.977315754707732
"Amador County, California",6005,37383,29.0,7.75753684830003e-05,1,0,7.442333588113847e-05,4.845717570693732e-05,0.0001015449732555781,7.549118510923806e-05,4.966708693116183e-05,0.00010289966491705155,7.533236023561628e-05,4.843244417257974e-05,0.00010235007186269396,7.533236023561628e-05,4.843244417257974e-05,0.00010235007186269396,-9.46426059761855
"Amelia County, Virginia",51007,12913,0.0,0.0,0,1,3.204557733775302e-06,7.438917063490112e-13,1.2490974747178273e-05,2.3621889083368413e-06,4.0871540562224805e-18,1.0409371317949893e-05,2.1542230099288953e-06,6.465946854008259e-17,9.684220298906303e-06,2.1542230099288953e-06,6.465946854008259e-17,9.684220298906303e-06,-16.977315754707732
"Amherst County, Virginia",51009,31633,0.0,0.0,0,1,1.384610417846248e-06,4.77382612789861e-22,5.348144142363834e-06,1.0472416903991731e-06,4.272551055620076e-18,4.6114043246459105e-06,9.130500062634156e-07,4.223719178089727e-17,4.173852854883486e-06,9.130500062634156e-07,4.223719178089727e-17,4.173852854883486e-06,-16.977315754707732
"Amite County, Mississippi",28005,12458,0.0,0.0,0,1,3.2711948850993113e-06,2.8150349672411785e-14,1.2967840881414137e-05,2.5058906977687976e-06,2.301260445773102e-17,1.0905307296532646e-05,2.18843907645679e-06,2.763641444473477e-20,1.0092512707731359e-05,2.18843907645679e-06,2.763641444473477e-20,1.0092512707731359e-05,-16.977315754707732
"Anchorage Municipality, Alaska",2020,298192,194.0,6.505875409132371e-05,0,0,6.474830589896849e-05,5.5163022232560675e-05,7.368606829154263e-05,6.484701688127573e-05,5.5469119761565655e-05,7.340990556762386e-05,6.487558754088197e-05,5.5973319546482707e-05,7.40799965114661e-05,6.487558754088197e-05,5.5973319546482707e-05,7.40799965114661e-05,-9.640219787251164
"Anderson County, Kansas",20003,7827,0.0,0.0,0,1,4.802141150909497e-06,1.116298439931261e-15,1.8765728549067626e-05,3.751735549332782e-06,1.0802394309493926e-16,1.6582661415927295e-05,3.3000528373421046e-06,1.1958876463431734e-18,1.4971923592500544e-05,3.3000528373421046e-06,1.1958876463431734e-18,1.4971923592500544e-05,-16.977315754707732
"Anderson County, Kentucky",21005,22158,11.0,4.9643469627222675e-05,0,0,4.722396922359273e-05,2.0889638844567263e-05,7.47338576352576e-05,4.791266819304438e-05,2.179475730483377e-05,7.627497845260638e-05,4.8087724525293414e-05,2.024255055563288e-05,7.528116307652791e-05,4.8087724525293414e-05,2.024255055563288e-05,7.528116307652791e-05,-9.910643704276293
"Anderson County, South Carolina",45007,196569,89.0,4.527672216880587e-05,0,0,4.4977937675861076e-05,3.5446478977685814e-05,5.443591160744977e-05,4.5097290985729455e-05,3.6059745610191455e-05,5.442848068993846e-05,4.511196710753235e-05,3.565649628531245e-05,5.4455647476765176e-05,4.511196710753235e-05,3.565649628531245e-05,5.4455647476765176e-05,-10.002717516954537
"Anderson County, Tennessee",47001,75936,39.0,5.13590391908976e-05,0,0,5.0462950039129e-05,3.5470125333767e-05,6.659576146176125e-05,5.081002117687252e-05,3.5267562151359235e-05,6.654237094662876e-05,5.0677260894719026e-05,3.517855272716612e-05,6.673366907295128e-05,5.0677260894719026e-05,3.517855272716612e-05,6.673366907295128e-05,-9.87666960609989
"Anderson County, Texas",48001,57734,46.0,7.967575432154364e-05,1,0,7.78034879920742e-05,5.547944268526012e-05,9.926654922362885e-05,7.839518191875415e-05,5.6446117487874635e-05,0.00010105853813408838,7.810542970172915e-05,5.4872809148314865e-05,9.995331391412733e-05,7.810542970172915e-05,5.4872809148314865e-05,9.995331391412733e-05,-9.437545230224753
"Andrew County, Missouri",29003,17350,0.0,0.0,0,1,2.4489708421615733e-06,1.539328434974667e-13,9.416666610338062e-06,1.8317254659598687e-06,9.671881195994123e-17,7.880362083861274e-06,1.6523765386966449e-06,5.773103063054359e-23,7.460212297997457e-06,1.6523765386966449e-06,5.773103063054359e-23,7.460212297997457e-06,-16.977315754707732
"Andrews County, Texas",48003,17760,0.0,0.0,0,1,2.3837939374491823e-06,2.4314534723738904e-13,9.164092109303633e-06,1.826075278472471e-06,2.1558769294620458e-20,8.159152712220078e-06,1.5928304414183146e-06,2.829796514933977e-18,7.359453969423134e-06,1.5928304414183146e-06,2.829796514933977e-18,7.359453969423134e-06,-16.977315754707732
"Androscoggin County, Maine",23001,107319,64.0,5.963529291178636e-05,0,0,5.889175634096043e-05,4.478153620406423e-05,7.348890208316783e-05,5.9147171179783254e-05,4.54994251020709e-05,7.381090379874824e-05,5.916533620166051e-05,4.598569058864248e-05,7.354978799254887e-05,5.916533620166051e-05,4.598569058864248e-05,7.354978799254887e-05,-9.727262996202828
"Angelina County, Texas",48005,87791,22.0,2.505951635133442e-05,0,0,2.5050165247430356e-05,1.5582586112496327e-05,3.5824684403792883e-05,2.501403773321569e-05,1.5036846652009533e-05,3.5358775425645714e-05,2.5008588139611037e-05,1.5154214395221014e-05,3.530335222498999e-05,2.5008588139611037e-05,1.5154214395221014e-05,3.530335222498999e-05,-10.59425690831011
"Anne Arundel County, Maryland",24003,568346,309.0,5.436828973899702e-05,0,0,5.4256923628508146e-05,4.8467931056630524e-05,6.0295292717605734e-05,5.4270016720671086e-05,4.836050753054451e-05,6.0444518029383617e-05,5.431530316427095e-05,4.8219116992986933e-05,6.052469378017655e-05,5.431530316427095e-05,4.8219116992986933e-05,6.052469378017655e-05,-9.819729483269613
"Anoka County, Minnesota",27003,345957,234.0,6.763846373971332e-05,0,0,6.730659681669233e-05,5.8822854159317177e-05,7.558696444701915e-05,6.746983480863575e-05,5.879796241517932e-05,7.593313495008963e-05,6.746925130106171e-05,5.90285231041998e-05,7.6349286269169e-05,6.746925130106171e-05,5.90285231041998e-05,7.6349286269169e-05,-9.601333746496476
"Anson County, North Carolina",37007,25448,0.0,0.0,0,1,1.7449798357997205e-06,9.267327928534158e-17,6.791717498579551e-06,1.2927637291732572e-06,5.830374593072652e-16,5.565181058876498e-06,2.7054716702493967e-06,3.2852946834866424e-12,9.090042548725156e-06,2.7054716702493967e-06,3.2852946834866424e-12,9.090042548725156e-06,-16.977315754707732
"Antelope County, Nebraska",31003,6329,0.0,0.0,0,1,5.665644442698657e-06,6.750861345173212e-14,2.2007202934985776e-05,4.538738585622214e-06,5.70674796758802e-16,1.9602560782380998e-05,3.901766047135128e-06,1.2084051577235025e-18,1.738508077366033e-05,3.901766047135128e-06,1.2084051577235025e-18,1.738508077366033e-05,-16.977315754707732
"Antrim County, Michigan",26009,23144,0.0,0.0,0,1,1.857438915664588e-06,8.912441102729625e-15,7.1758211495332195e-06,1.4125769088803382e-06,2.3674644736764603e-20,6.323613124562499e-06,1.217696453914096e-06,4.3086493555642703e-17,5.587116637407917e-06,1.217696453914096e-06,4.3086493555642703e-17,5.587116637407917e-06,-16.977315754707732
"Apache County, Arizona",4001,73112,126.0,0.00017233833023306706,1,0,0.00016823490865396348,0.00013936430484403535,0.00019763138697862127,0.00016939680832271905,0.00014049219427409622,0.00019885593526521465,0.00016896194267378655,0.0001399924905229883,0.00019856648280566248,0.00016896194267378655,0.0001399924905229883,0.00019856648280566248,-8.666050976994605
"Appanoose County, Iowa",19007,12462,0.0,0.0,0,1,3.345704635814853e-06,1.417134894272257e-16,1.3349043817696913e-05,2.502372447551578e-06,2.9467013563193496e-16,1.088175793724321e-05,2.180797081371513e-06,2.6730415868103753e-17,9.868500686955239e-06,2.180797081371513e-06,2.6730415868103753e-17,9.868500686955239e-06,-16.977315754707732
"Appling County, Georgia",13001,18428,0.0,0.0,0,1,2.3256668151708534e-06,2.3124374885926414e-16,9.248384030313379e-06,1.784819238205349e-06,1.0462032903477878e-15,7.842669542106808e-06,1.4981247501561218e-06,2.4500900551702017e-20,6.684029274952905e-06,1.4981247501561218e-06,2.4500900551702017e-20,6.684029274952905e-06,-16.977315754707732
"Appomattox County, Virginia",51011,15475,0.0,0.0,0,1,2.738497831958712e-06,2.7629478994670983e-14,1.0646423929400564e-05,2.0377421227350803e-06,1.7517953819187746e-15,8.86101752466199e-06,1.8119526932093882e-06,4.819091776839668e-16,8.285789880935976e-06,1.8119526932093882e-06,4.819091776839668e-16,8.285789880935976e-06,-16.977315754707732
