County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Van Buren County, Tennessee",47175,5689,0.0,0.0,0,1,6.125968672411682e-06,1.8922453758853252e-14,2.302926191620821e-05,4.874136219358233e-06,2.7171270082790916e-16,2.1388892459341382e-05,4.2664687477634265e-06,4.4262080111884085e-17,1.897515655476622e-05,4.2664687477634265e-06,4.4262080111884085e-17,1.897515655476622e-05,-16.977315754707732
"Van Wert County, Ohio",39161,28362,10.0,3.5258444397433186e-05,0,0,3.432214721976513e-05,1.4751334573832342e-05,5.496715131409263e-05,3.471154630887234e-05,1.462778511951698e-05,5.5744239941604976e-05,3.460023221309966e-05,1.419447585801111e-05,5.576589894336375e-05,3.460023221309966e-05,1.419447585801111e-05,5.576589894336375e-05,-10.25280550002129
"Van Zandt County, Texas",48467,54355,18.0,3.311562873700672e-05,0,0,3.2741903922433896e-05,1.8675889262325977e-05,4.77973020867393e-05,3.290777369701229e-05,1.824633701691988e-05,4.8095569776278716e-05,3.282885387669795e-05,1.819169523706787e-05,4.774507031702783e-05,3.282885387669795e-05,1.819169523706787e-05,4.774507031702783e-05,-10.315505219735982
"Vance County, North Carolina",37181,44244,0.0,0.0,0,1,1.0127615784937019e-06,1.1769205256862353e-14,3.955481435498413e-06,7.576453370315204e-07,1.0962000792781062e-18,3.3008762997078355e-06,1.6122398068816012e-06,3.822475809226403e-12,5.249812573398195e-06,1.6122398068816012e-06,3.822475809226403e-12,5.249812573398195e-06,-16.977315754707732
"Vanderburgh County, Indiana",18163,181721,189.0,0.00010400559098838329,1,0,0.00010305818169936216,8.921031296820239e-05,0.00011828464048147071,0.00010336334716123892,8.930580345039627e-05,0.0001184655046779497,0.00010329528643509926,8.832678919771583e-05,0.00011773818315248374,0.00010329528643509926,8.832678919771583e-05,0.00011773818315248374,-9.171065900764207
"Venango County, Pennsylvania",42121,52582,16.0,3.0428663801300826e-05,0,0,3.0016094177273868e-05,1.670022036612177e-05,4.4438033314972516e-05,3.0174846466305577e-05,1.6759942796097827e-05,4.571084197337114e-05,3.0259423877884584e-05,1.623449016596113e-05,4.530466620553345e-05,3.0259423877884584e-05,1.623449016596113e-05,4.530466620553345e-05,-10.40012550559127
"Ventura County, California",6111,849738,527.0,6.201911648060931e-05,0,0,6.19282326449012e-05,5.670837889265693e-05,6.732275491260841e-05,6.196725887164902e-05,5.7026932544583843e-05,6.746890643268021e-05,6.20007189406561e-05,5.690549935237558e-05,6.736247822300256e-05,6.20007189406561e-05,5.690549935237558e-05,6.736247822300256e-05,-9.688067890110803
"Vermilion County, Illinois",17183,78111,33.0,4.224757076468103e-05,0,0,4.1706421132784654e-05,2.838470952752759e-05,5.606690216865944e-05,4.199313463168804e-05,2.769516632907308e-05,5.630056838180956e-05,4.186015435780599e-05,2.808666284152997e-05,5.649151691533976e-05,4.186015435780599e-05,2.808666284152997e-05,5.649151691533976e-05,-10.071963702508029
"Vermilion Parish, Louisiana",22113,60205,17.0,2.823685740387011e-05,0,0,2.8040565184658734e-05,1.5918606496417384e-05,4.117193635950148e-05,2.826116579046745e-05,1.4828683601839057e-05,4.144877588659762e-05,2.7978114089477356e-05,1.5444455724112645e-05,4.131432712574771e-05,2.7978114089477356e-05,1.5444455724112645e-05,4.131432712574771e-05,-10.474882433264149
"Vermillion County, Indiana",18165,15645,0.0,0.0,0,1,2.671663214487901e-06,6.097647986181144e-13,1.0473535859453574e-05,1.992734406501942e-06,1.6822013131057382e-16,8.796207917347188e-06,1.847048855140733e-06,3.6153484945520755e-19,8.40973559269441e-06,1.847048855140733e-06,3.6153484945520755e-19,8.40973559269441e-06,-16.977315754707732
"Vernon County, Missouri",29217,20723,0.0,0.0,0,1,2.0995232705595876e-06,1.2410253413702335e-13,8.280985222924608e-06,1.5265579767262094e-06,1.8189697437355475e-19,6.6609236092645085e-06,1.361906442317876e-06,1.3892796758906774e-17,6.219467494527489e-06,1.361906442317876e-06,1.3892796758906774e-17,6.219467494527489e-06,-16.977315754707732
"Vernon County, Wisconsin",55123,30814,0.0,0.0,0,1,1.4646470973793301e-06,1.6757062883122562e-14,5.736697839807782e-06,1.0914758464276238e-06,1.3349845899537334e-17,4.845116522778419e-06,9.092755368888948e-07,6.578766881056505e-17,4.185350429186987e-06,9.092755368888948e-07,6.578766881056505e-17,4.185350429186987e-06,-16.977315754707732
"Vernon Parish, Louisiana",22115,50569,20.0,3.954992188890427e-05,0,0,3.897336672012261e-05,2.2811936123954967e-05,5.6544593341766344e-05,3.919141495712279e-05,2.302706669560306e-05,5.6476542262819824e-05,3.899332170595009e-05,2.444563739921387e-05,5.73403250270817e-05,3.899332170595009e-05,2.444563739921387e-05,5.73403250270817e-05,-10.137946838748661
"Victoria County, Texas",48469,92467,43.0,4.6503076773335355e-05,0,0,4.588637599532633e-05,3.272839323377563e-05,5.958937740005635e-05,4.61760786778801e-05,3.3250563726782406e-05,6.078534040978876e-05,4.60606138405939e-05,3.2861133517312416e-05,6.00234436611311e-05,4.60606138405939e-05,3.2861133517312416e-05,6.00234436611311e-05,-9.975992080391412
"Vigo County, Indiana",18167,107931,76.0,7.041535796017826e-05,1,0,6.949794060671029e-05,5.45213165018933e-05,8.573625155202982e-05,6.985969014486478e-05,5.472792636809821e-05,8.542051954392418e-05,6.983576455418576e-05,5.516059698335443e-05,8.632647162485699e-05,6.983576455418576e-05,5.516059698335443e-05,8.632647162485699e-05,-9.561099165748708
"Vilas County, Wisconsin",55125,21435,13.0,6.0648472125029155e-05,0,0,5.696598020975285e-05,2.9262369701575606e-05,8.702397315529894e-05,5.815578647225167e-05,2.9916409524893376e-05,9.026019688433425e-05,5.80817986305488e-05,2.8253278747868157e-05,8.835721958948254e-05,5.80817986305488e-05,2.8253278747868157e-05,8.835721958948254e-05,-9.710416114564586
"Vinton County, Ohio",39163,12921,0.0,0.0,0,1,3.1543305128840273e-06,2.221758423811275e-13,1.277142938298982e-05,2.413851377344366e-06,2.305659270521429e-17,1.0497273529629256e-05,2.1579380312412516e-06,2.959825285689323e-17,1.0075694349387363e-05,2.1579380312412516e-06,2.959825285689323e-17,1.0075694349387363e-05,-16.977315754707732
