id2,County,Population,log_pop
13271,"Telfair County, Georgia",15965,9.678154105148883
13273,"Terrell County, Georgia",8967,9.101306450952048
13275,"Thomas County, Georgia",45248,10.719913749256245
13277,"Tift County, Georgia",40828,10.61712339952339
13279,"Toombs County, Georgia",27196,10.21082518264635
13281,"Towns County, Georgia",11391,9.340578848899913
13283,"Treutlen County, Georgia",6637,8.800415333145924
13285,"Troup County, Georgia",70005,11.156321947052026
13287,"Turner County, Georgia",8030,8.990939806940807
13289,"Twiggs County, Georgia",8171,9.008346579384707
13291,"Union County, Georgia",22928,10.040114150067954
13293,"Upson County, Georgia",26335,10.17865413191749
13295,"Walker County, Georgia",67896,11.125732401649513
13297,"Walton County, Georgia",90184,11.409607306724368
13299,"Ware County, Georgia",35738,10.483969827438607
13301,"Warren County, Georgia",5442,8.601901919343192
13303,"Washington County, Georgia",20457,9.926080401188763
13305,"Wayne County, Georgia",30104,10.312413332273273
13307,"Webster County, Georgia",2599,7.8628820346414905
13309,"Wheeler County, Georgia",7978,8.984443032465352
13311,"White County, Georgia",28884,10.271043087571073
13313,"Whitfield County, Georgia",104589,11.557793662559092
13315,"Wilcox County, Georgia",8761,9.078065332666364
13317,"Wilkes County, Georgia",9805,9.190647738630446
13319,"Wilkinson County, Georgia",9104,9.116469156366112
13321,"Worth County, Georgia",20748,9.940205135471292
15001,"Hawaii County, Hawaii",198449,12.198287419145858
15003,"Honolulu County, Hawaii",992605,13.808088079398631
15005,"Kalawao County, Hawaii",88,4.477336814478207
15007,"Kauai County, Hawaii",72029,11.184824094682776
15009,"Maui County, Hawaii",165386,12.016037414700286
16001,"Ada County, Idaho",444028,13.003642902489034
16003,"Adams County, Idaho",3900,8.268731832117737
16005,"Bannock County, Idaho",84377,11.343050131597606
16007,"Bear Lake County, Idaho",5945,8.690305809124883
16009,"Benewah County, Idaho",9092,9.115150184972434
16011,"Bingham County, Idaho",45201,10.718874489469398
16013,"Blaine County, Idaho",21791,9.989252319496922
